SN,thickness,defect,band_gap,electron_affinity,doping,pce
155,0.7,1000000000000000,1.51,3.855,1E+017,18.1967287
156,0.7,1000000000000000,1.51,3.855,1E+018,19.48798
157,0.7,1000000000000000,1.51,3.955,1000000000000000,17.0436824
158,0.7,1000000000000000,1.51,3.955,1E+016,17.5615627
159,0.7,1000000000000000,1.51,3.955,1E+017,18.4329872
160,0.7,1000000000000000,1.51,3.955,1E+018,19.584115
161,0.7,1000000000000000,1.61,3.555,1000000000000000,17.0507708
162,0.7,1000000000000000,1.61,3.555,1E+016,18.5224026
163,0.7,1000000000000000,1.61,3.555,1E+017,18.4417764
164,0.7,1000000000000000,1.61,3.555,1E+018,16.5941838
165,0.7,1000000000000000,1.61,3.655,1000000000000000,17.1282736
166,0.7,1000000000000000,1.61,3.655,1E+016,16.3148264
167,0.7,1000000000000000,1.61,3.655,1E+017,15.9801322
168,0.7,1000000000000000,1.61,3.655,1E+018,16.7709685
169,0.7,1000000000000000,1.61,3.755,1000000000000000,15.2304718
170,0.7,1000000000000000,1.61,3.755,1E+016,15.2498266
171,0.7,1000000000000000,1.61,3.755,1E+017,16.9078273
172,0.7,1000000000000000,1.61,3.755,1E+018,18.2158006
173,0.7,1000000000000000,1.61,3.855,1000000000000000,15.4142135
174,0.7,1000000000000000,1.61,3.855,1E+016,16.3137884
175,0.7,1000000000000000,1.61,3.855,1E+017,17.6280668
176,0.7,1000000000000000,1.61,3.855,1E+018,18.8323369
177,0.7,1000000000000000,1.61,3.955,1000000000000000,15.8878569
178,0.7,1000000000000000,1.61,3.955,1E+016,16.9314607
179,0.7,1000000000000000,1.61,3.955,1E+017,17.8434713
180,0.7,1000000000000000,1.61,3.955,1E+018,18.9065062
181,0.7,1E+016,1.41,3.555,1000000000000000,12.6064851
182,0.7,1E+016,1.41,3.555,1E+016,15.2161705
183,0.7,1E+016,1.41,3.555,1E+017,17.8025659
184,0.7,1E+016,1.41,3.555,1E+018,18.9804458
185,0.7,1E+016,1.41,3.655,1000000000000000,15.1897893
186,0.7,1E+016,1.41,3.655,1E+016,17.767565
187,0.7,1E+016,1.41,3.655,1E+017,20.3661082
188,0.7,1E+016,1.41,3.655,1E+018,21.4259605
189,0.7,1E+016,1.41,3.755,1000000000000000,17.7893958
190,0.7,1E+016,1.41,3.755,1E+016,20.0882706
191,0.7,1E+016,1.41,3.755,1E+017,21.5954168
192,0.7,1E+016,1.41,3.755,1E+018,20.5019393
193,0.7,1E+016,1.41,3.855,1000000000000000,19.5882523
194,0.7,1E+016,1.41,3.855,1E+016,19.2684868
195,0.7,1E+016,1.41,3.855,1E+017,18.6408408
196,0.7,1E+016,1.41,3.855,1E+018,19.5575476
197,0.7,1E+016,1.41,3.955,1000000000000000,18.2175792
198,0.7,1E+016,1.41,3.955,1E+016,17.7489487
199,0.7,1E+016,1.41,3.955,1E+017,18.4199212
200,0.7,1E+016,1.41,3.955,1E+018,19.6049453
201,0.7,1E+016,1.51,3.555,1000000000000000,13.5044237
202,0.7,1E+016,1.51,3.555,1E+016,15.7919138
203,0.7,1E+016,1.51,3.555,1E+017,18.0553645
204,0.7,1E+016,1.51,3.555,1E+018,18.9401024
205,0.7,1E+016,1.51,3.655,1000000000000000,15.8273414
206,0.7,1E+016,1.51,3.655,1E+016,17.9575463
207,0.7,1E+016,1.51,3.655,1E+017,19.460412
208,0.7,1E+016,1.51,3.655,1E+018,18.3701889
209,0.7,1E+016,1.51,3.755,1000000000000000,17.6376204
210,0.7,1E+016,1.51,3.755,1E+016,17.6134597
211,0.7,1E+016,1.51,3.755,1E+017,17.5530114
212,0.7,1E+016,1.51,3.755,1E+018,18.5402211
213,0.7,1E+016,1.51,3.855,1000000000000000,16.9523587
214,0.7,1E+016,1.51,3.855,1E+016,16.7639989
215,0.7,1E+016,1.51,3.855,1E+017,17.8837946
216,0.7,1E+016,1.51,3.855,1E+018,19.1387215
217,0.7,1E+016,1.51,3.955,1000000000000000,16.8151743
218,0.7,1E+016,1.51,3.955,1E+016,17.3483783
219,0.7,1E+016,1.51,3.955,1E+017,18.1392844
220,0.7,1E+016,1.51,3.955,1E+018,19.2373074
221,0.7,1E+016,1.61,3.555,1000000000000000,13.984246
222,0.7,1E+016,1.61,3.555,1E+016,15.8612198
223,0.7,1E+016,1.61,3.555,1E+017,17.1469607
224,0.7,1E+016,1.61,3.555,1E+018,16.1319231
225,0.7,1E+016,1.61,3.655,1000000000000000,15.5862772
226,0.7,1E+016,1.61,3.655,1E+016,15.5749157
227,0.7,1E+016,1.61,3.655,1E+017,15.6193024
228,0.7,1E+016,1.61,3.655,1E+018,16.4797098
229,0.7,1E+016,1.61,3.755,1000000000000000,14.994898
230,0.7,1E+016,1.61,3.755,1E+016,15.0055243
231,0.7,1E+016,1.61,3.755,1E+017,16.599152
232,0.7,1E+016,1.61,3.755,1E+018,17.902532
233,0.7,1E+016,1.61,3.855,1000000000000000,15.3076056
234,0.7,1E+016,1.61,3.855,1E+016,16.1108216
235,0.7,1E+016,1.61,3.855,1E+017,17.3383724
236,0.7,1E+016,1.61,3.855,1E+018,18.5014553
237,0.7,1E+016,1.61,3.955,1000000000000000,15.7099676
238,0.7,1E+016,1.61,3.955,1E+016,16.7453639
239,0.7,1E+016,1.61,3.955,1E+017,17.5697652
240,0.7,1E+016,1.61,3.955,1E+018,18.5781972
241,0.8,10000000000000,1.41,3.555,1000000000000000,20.4006921
242,0.8,10000000000000,1.41,3.555,1E+016,20.5242251
243,0.8,10000000000000,1.41,3.555,1E+017,20.577039
244,0.8,10000000000000,1.41,3.555,1E+018,20.7579389
245,0.8,10000000000000,1.41,3.655,1000000000000000,23.1906492
246,0.8,10000000000000,1.41,3.655,1E+016,23.3209809
247,0.8,10000000000000,1.41,3.655,1E+017,23.3540304
248,0.8,10000000000000,1.41,3.655,1E+018,23.3175035
249,0.8,10000000000000,1.41,3.755,1000000000000000,24.6060691
250,0.8,10000000000000,1.41,3.755,1E+016,24.5867227
251,0.8,10000000000000,1.41,3.755,1E+017,23.8198592
252,0.8,10000000000000,1.41,3.755,1E+018,21.7123311
253,0.8,10000000000000,1.41,3.855,1000000000000000,21.8531098
254,0.8,10000000000000,1.41,3.855,1E+016,20.5249139
255,0.8,10000000000000,1.41,3.855,1E+017,19.8105946
256,0.8,10000000000000,1.41,3.855,1E+018,20.8316956
257,0.8,10000000000000,1.41,3.955,1000000000000000,19.0806952
258,0.8,10000000000000,1.41,3.955,1E+016,18.7397442
259,0.8,10000000000000,1.41,3.955,1E+017,19.5903549
260,0.8,10000000000000,1.41,3.955,1E+018,20.8874963
261,0.8,10000000000000,1.51,3.555,1000000000000000,20.5029073
262,0.8,10000000000000,1.51,3.555,1E+016,20.6100308
263,0.8,10000000000000,1.51,3.555,1E+017,20.6383433
264,0.8,10000000000000,1.51,3.555,1E+018,20.6193039
265,0.8,10000000000000,1.51,3.655,1000000000000000,22.2145892
266,0.8,10000000000000,1.51,3.655,1E+016,22.1910318
267,0.8,10000000000000,1.51,3.655,1E+017,21.4700223
268,0.8,10000000000000,1.51,3.655,1E+018,19.4349466
269,0.8,10000000000000,1.51,3.755,1000000000000000,20.0078649
270,0.8,10000000000000,1.51,3.755,1E+016,18.9221352
271,0.8,10000000000000,1.51,3.755,1E+017,18.707476
272,0.8,10000000000000,1.51,3.755,1E+018,19.7216693
273,0.8,10000000000000,1.51,3.855,1000000000000000,17.672396
274,0.8,10000000000000,1.51,3.855,1E+016,17.7747251
275,0.8,10000000000000,1.51,3.855,1E+017,19.057554
276,0.8,10000000000000,1.51,3.855,1E+018,20.3927296
277,0.8,10000000000000,1.51,3.955,1000000000000000,17.7557251
278,0.8,10000000000000,1.51,3.955,1E+016,18.3538924
279,0.8,10000000000000,1.51,3.955,1E+017,19.299744
280,0.8,10000000000000,1.51,3.955,1E+018,20.4967456
281,0.8,10000000000000,1.61,3.555,1000000000000000,19.5810029
282,0.8,10000000000000,1.61,3.555,1E+016,19.5563285
